Var1	Freq
aa	1487
ab	25
ac	1345
ad	612
ae	3194
af	32
ag	170
ah	241
ai	177
ak	94
al	1123
am	738
an	1617
ao	195
ap	126
ar	915
as	2105
at	1085
au	51
av	6
aw	21
ax	61
ay	1668
az	8
ba	621
bb	40
bc	336
bd	923
be	2012
bf	47
bg	427
bh	351
bi	152
bj	2
bk	253
bl	593
bm	410
bn	842
bo	168
bp	130
br	939
bs	972
bt	729
bu	40
bw	66
bx	28
by	971
bz	18
ca	1289
cb	46
cc	803
cd	1034
ce	3921
cf	45
cg	402
ch	340
ci	141
ck	197
cl	1185
cm	809
cn	1756
co	252
cp	215
cr	1445
cs	2305
ct	1221
cu	36
cw	58
cx	95
cy	2298
cz	8
da	496
db	36
dc	427
dd	515
de	2361
df	32
dg	238
dh	192
di	66
dk	100
dl	594
dm	351
dn	1122
do	73
dp	91
dr	827
ds	1107
dt	798
du	8
dv	2
dw	27
dx	33
dy	1400
ea	484
eb	11
ec	676
ed	311
ee	1740
ef	10
eg	125
eh	122
ei	34
ek	34
el	696
em	397
en	771
eo	45
ep	64
er	560
es	977
et	624
eu	7
ev	1
ew	20
ex	29
ey	996
ez	2
fa	226
fb	12
fc	126
fd	483
fe	1275
ff	41
fg	277
fh	167
fi	29
fk	130
fl	337
fm	235
fn	499
fo	70
fp	79
fr	610
fs	788
ft	491
fu	15
fw	37
fx	18
fy	904
fz	11
ga	488
gb	16
gc	308
gd	377
ge	1212
gf	32
gg	208
gh	185
gi	77
gj	2
gk	86
gl	384
gm	270
gn	528
go	108
gp	91
gr	458
gs	821
gt	366
gu	17
gv	1
gw	13
gx	18
gy	785
gz	10
ha	550
hb	21
hc	756
hd	481
he	1475
hf	44
hg	154
hh	218
hi	93
hj	2
hk	118
hl	573
hm	410
hn	758
ho	68
hp	92
hr	534
hs	1142
ht	440
hu	16
hv	1
hw	22
hx	33
hy	1015
hz	11
ia	208
ib	5
ic	361
id	317
ie	2042
if	13
ig	117
ih	84
ii	38
ik	35
il	696
im	263
in	774
io	61
ip	41
iq	1
ir	494
is	928
it	655
iu	9
iw	12
ix	35
iy	1609
iz	1
ja	103
jb	13
jc	29
jd	75
je	297
jf	11
jg	47
jh	56
ji	32
jj	2
jk	26
jl	77
jm	65
jn	154
jo	29
jp	24
jr	122
js	146
jt	87
ju	14
jw	9
jx	9
jy	212
jz	3
ka	241
kb	16
kc	83
kd	86
ke	345
kf	13
kg	64
kh	101
ki	138
kj	2
kk	68
kl	88
km	59
kn	245
ko	58
kp	40
kr	168
ks	170
kt	101
ku	41
kv	2
kw	7
kx	7
ky	128
kz	10
la	470
lb	6
lc	225
ld	373
le	1127
lf	32
lg	155
lh	139
li	58
lk	93
ll	267
lm	248
ln	604
lo	79
lp	57
lr	415
ls	849
lt	326
lu	16
lv	4
lw	14
lx	24
ly	699
lz	4
ma	928
mb	20
mc	797
md	644
me	2398
mf	38
mg	188
mh	256
mi	139
mj	1
mk	109
ml	761
mm	613
mn	1122
mo	175
mp	106
mr	761
ms	1429
mt	737
mu	36
mv	2
mw	28
mx	39
my	1285
mz	4
na	290
nb	13
nc	412
nd	352
ne	1255
nf	16
ng	323
nh	103
ni	54
nj	1
nk	46
nl	608
nm	223
nn	759
no	51
np	36
nq	1
nr	374
ns	657
nt	488
nu	12
nw	8
nx	17
ny	678
nz	3
oa	347
ob	13
oc	394
od	472
oe	1477
of	34
og	169
oh	189
oi	28
ok	97
ol	434
om	266
on	640
oo	48
op	74
or	452
os	969
ot	611
ou	5
ow	49
ox	32
oy	1045
oz	4
pa	1402
pb	17
pc	1850
pd	1022
pe	4363
pf	52
pg	357
ph	391
pi	145
pk	162
pl	2064
pm	1198
pn	2119
po	207
pp	186
pq	1
pr	1405
ps	2864
pt	1519
pu	39
pv	1
pw	36
px	99
py	2959
pz	3
qa	46
qb	2
qc	38
qd	66
qe	240
qf	8
qg	20
qh	33
qi	8
qk	12
ql	106
qm	46
qn	92
qo	20
qp	11
qq	2
qr	78
qs	100
qt	70
qu	2
qw	3
qx	3
qy	144
qz	2
ra	294
rb	30
rc	169
rd	464
re	2204
rf	69
rg	235
rh	222
ri	51
rj	2
rk	149
rl	498
rm	260
rn	1025
ro	68
rp	104
rr	818
rs	840
rt	909
ru	15
rv	4
rw	48
rx	33
ry	1157
rz	3
sa	1142
sb	66
sc	992
sd	1584
se	4391
sf	179
sg	856
sh	650
si	227
sj	3
sk	370
sl	1671
sm	969
sn	2012
so	185
sp	288
sq	1
sr	1932
ss	2803
st	1506
su	43
sv	8
sw	86
sx	89
sy	3091
sz	18
ta	778
tb	23
tc	628
td	648
te	2431
tf	60
tg	338
th	289
ti	150
tj	1
tk	168
tl	865
tm	490
tn	1156
to	180
tp	111
tq	1
tr	934
ts	1404
tt	733
tu	53
tv	2
tw	28
tx	40
ty	1447
tz	8
ua	150
ub	29
uc	317
ud	4598
ue	2767
uf	34
ug	1223
uh	194
ui	23
uk	124
ul	806
um	178
un	592
uo	33
up	95
ur	452
us	1716
ut	782
uu	17
uw	61
ux	23
uy	2171
uz	2
va	212
vb	1
vc	113
vd	140
ve	723
vf	11
vg	49
vh	41
vi	26
vk	11
vl	245
vm	164
vn	282
vo	33
vp	29
vr	241
vs	418
vt	188
vu	8
vv	3
vw	2
vx	17
vy	482
vz	1
wa	103
wb	9
wc	10
wd	324
we	626
wf	59
wg	251
wh	144
wi	43
wk	116
wl	153
wm	101
wn	289
wo	51
wp	85
wr	436
ws	355
wt	260
wu	14
ww	40
wx	6
wy	464
wz	5
xa	71
xc	38
xd	17
xe	68
xf	1
xg	1
xh	4
xi	9
xk	1
xl	21
xm	21
xn	38
xp	1
xr	4
